Species id,Species name,Family id,Family name,Order id,Order name,Acession number
884341,Heliconius numata tarapotensis,33415,Nymphalidae,7088,Lepidoptera,GCA_001486745.1
144034,Pogonomyrmex barbatus,36668,Formicidae,7399,Hymenoptera,GCA_000187915.1
7220,Drosophila erecta,7214,Drosophilidae,7147,Diptera,GCA_000005135.1
7222,Drosophila grimshawi,7214,Drosophilidae,7147,Diptera,GCA_000005155.1
7225,Scaptodrosophila lebanonensis,7214,Drosophilidae,7147,Diptera,GCA_001014445.1
248311,Heliconius melpomene aglaope,33415,Nymphalidae,7088,Lepidoptera,GCA_001486105.1
7227,Drosophila melanogaster,7214,Drosophilidae,7147,Diptera,GCA_001014345.1
7229,Drosophila miranda,7214,Drosophilidae,7147,Diptera,GCA_001014365.1
77166,Dendroctonus ponderosae,7042,Curculionidae,7041,Coleoptera,GCA_000346045.2
7385,Neobellieria bullata,7381,Sarcophagidae,7147,Diptera,GCA_001017455.1
104452,Operophtera brumata,82593,Geometridae,7088,Lepidoptera,GCA_001266575.1
252483,Paracoccus marginatus,30190,Pseudococcidae,7524,Hemiptera,GCA_900065295.1
50550,Priacma serrata,50548,Cupedidae,7041,Coleoptera,GCA_000281835.1
13632,Lucilia sericata,7371,Calliphoridae,7147,Diptera,GCA_001014835.1
248310,Heliconius melpomene malleti,33415,Nymphalidae,7088,Lepidoptera,GCA_001510935.1
328831,Heliconius cydno cordula,33415,Nymphalidae,7088,Lepidoptera,GCA_001485865.1
248312,Heliconius melpomene amaryllis,33415,Nymphalidae,7088,Lepidoptera,GCA_001486145.1
411798,Vollenhovia emeryi,36668,Formicidae,7399,Hymenoptera,GCA_000949405.1
441047,Heliconius ethilla aerotome,33415,Nymphalidae,7088,Lepidoptera,GCA_001485785.1
29053,Copidosoma floridanum,29051,Encyrtidae,7399,Hymenoptera,GCA_000648655.1
28588,Bactrocera cucurbitae,7211,Tephritidae,7147,Diptera,GCA_000806345.1
33427,Heliconius ismenius,33415,Nymphalidae,7088,Lepidoptera,GCA_001485965.1
56086,Gerris buenoi,36161,Gerridae,7524,Hemiptera,GCA_001010745.1
13249,Rhodnius prolixus,27479,Reduviidae,7524,Hemiptera,GCA_000181055.3
454923,Diachasma alloeum,7402,Braconidae,7399,Hymenoptera,GCA_001412515.1
13164,Myzus persicae,27482,Aphididae,7524,Hemiptera,GCA_001856785.1
1352481,Eristalis dimidiata,34680,Syrphidae,7147,Diptera,GCA_001015145.1
46245,Drosophila pseudoobscura pseudoobscura,7214,Drosophilidae,7147,Diptera,GCA_000149495.1
7394,Glossina morsitans,7392,Glossinidae,7147,Diptera,GCA_001014515.1
63434,Leptopilina clavipes,44353,Figitidae,7399,Hymenoptera,GCA_001855655.1
30195,Bombus terrestris,7458,Apidae,7399,Hymenoptera,GCA_000214255.1
143948,Diuraphis noxia,27482,Aphididae,7524,Hemiptera,GCA_001938505.1
69004,Anopheles farauti,7157,Culicidae,7147,Diptera,GCA_000956265.1
168631,Chilo suppressalis,268499,Crambidae,7088,Lepidoptera,GCA_000636095.1
307658,Monomorium pharaonis,36668,Formicidae,7399,Hymenoptera,GCA_000980195.3
7398,Glossina pallidipes,7392,Glossinidae,7147,Diptera,GCA_000688715.1
204567,Chaoborus trivitattus,41811,Chaoboridae,7147,Diptera,GCA_001014815.1
34720,Trachymyrmex septentrionalis,36668,Formicidae,7399,Hymenoptera,GCA_001594115.1
217443,Cotesia vestalis,7402,Braconidae,7399,Hymenoptera,GCA_001675545.1
116153,Aethina tumida,116151,Nitidulidae,7041,Coleoptera,GCA_001937115.1
462259,Phortica variegata,7214,Drosophilidae,7147,Diptera,GCA_001014415.1
13686,Solenopsis invicta,36668,Formicidae,7399,Hymenoptera,GCA_000188075.1
136037,Zootermopsis nevadensis,7501,Termopsidae,85823,Blattodea,GCA_000696155.1
91411,Polistes canadensis,7438,Vespidae,7399,Hymenoptera,GCA_001313835.1
691633,Calycopis cecrops,27544,Lycaenidae,7088,Lepidoptera,GCA_001625245.1
568069,Clunio marinus,7149,Chironomidae,7147,Diptera,GCA_900005825.1
597456,Habropoda laboriosa,7458,Apidae,7399,Hymenoptera,GCA_001263275.1
112268,Anopheles minimus,7157,Culicidae,7147,Diptera,GCA_000349025.1
143724,Amphinemura sulcicollis,62802,Nemouridae,50622,Plecoptera,GCA_001676325.1
104688,Bactrocera oleae,7211,Tephritidae,7147,Diptera,GCA_001014625.1
1577616,Cirrula hians,48991,Ephydridae,7147,Diptera,GCA_001015075.1
1577617,Holcocephala fusca,50673,Asilidae,7147,Diptera,GCA_001015215.1
1577614,Condylostylus patibulatus,92558,Dolichopodidae,7147,Diptera,GCA_001014875.1
1577615,Ephydra gracilis,48991,Ephydridae,7147,Diptera,GCA_001014675.1
103372,Acromyrmex echinatior,36668,Formicidae,7399,Hymenoptera,GCA_000204515.1
315563,Belgica antarctica,7149,Chironomidae,7147,Diptera,GCA_000775305.1
610380,Harpegnathos saltator,36668,Formicidae,7399,Hymenoptera,GCA_000147195.1
67767,Lasius niger,36668,Formicidae,7399,Hymenoptera,GCA_001045655.1
69319,Microplitis demolitor,7402,Braconidae,7399,Hymenoptera,GCA_000572035.2
197043,Homalodisca vitripennis,30102,Cicadellidae,7524,Hemiptera,GCA_000696855.1
1577618,Sarcophagidae sp. BV-2014,7381,Sarcophagidae,7147,Diptera,GCA_001047195.1
62324,Anopheles funestus,7157,Culicidae,7147,Diptera,GCA_000349085.1
114634,Nasutitermes exitiosus,46569,Termitidae,85823,Blattodea,GCA_001404035.1
1155016,Mengenilla moldrzyki,50600,Mengenillidae,30261,Strepsiptera,GCA_000281935.1
199890,Anopheles epiroticus,7157,Culicidae,7147,Diptera,GCA_000349105.1
573617,Heliconius timareta timareta,33415,Nymphalidae,7088,Lepidoptera,GCA_001486465.1
76194,Papilio polytes,7143,Papilionidae,7088,Lepidoptera,GCA_000836215.1
223228,Ferrisia virgata,30190,Pseudococcidae,7524,Hemiptera,GCA_900060175.1
76193,Papilio machaon,7143,Papilionidae,7088,Lepidoptera,GCA_001298355.1
7038,Bemisia tabaci,7036,Aleyrodidae,7524,Hemiptera,GCA_001854935.1
7130,Manduca sexta,7128,Sphingidae,7088,Lepidoptera,GCA_000262585.1
286706,Halyomorpha halys,160513,Pentatomidae,7524,Hemiptera,GCA_000696795.1
7380,Phormia regina,7371,Calliphoridae,7147,Diptera,GCA_001735585.1
1295211,Trionymus perrisii,30190,Pseudococcidae,7524,Hemiptera,GCA_900050545.1
219809,Pseudomyrmex gracilis,36668,Formicidae,7399,Hymenoptera,GCA_002006095.1
7245,Drosophila yakuba,7214,Drosophilidae,7147,Diptera,GCA_000005975.1
7244,Drosophila virilis,7214,Drosophilidae,7147,Diptera,GCA_000004125.1
1218281,Limnephilus lunatus,50645,Limnephilidae,30263,Trichoptera,GCA_000648945.1
139723,Anopheles culicifacies,7157,Culicidae,7147,Diptera,GCA_000473375.1
13233,Pseudococcus longispinus,30190,Pseudococcidae,7524,Hemiptera,GCA_900064475.1
37344,Athalia rosae,27532,Tenthredinidae,7399,Hymenoptera,GCA_000344095.1
884340,Heliconius numata silvana,33415,Nymphalidae,7088,Lepidoptera,GCA_001486245.1
177089,Maconellicoccus hirsutus,30190,Pseudococcidae,7524,Hemiptera,GCA_900064465.1
884342,Heliconius pardalinus sergestus,33415,Nymphalidae,7088,Lepidoptera,GCA_001486765.1
123851,Ladona fulva,6964,Libellulidae,6961,Odonata,GCA_000376725.1
315576,Chironomus riparius,7149,Chironomidae,7147,Diptera,GCA_001014505.1
7539,Leptinotarsa decemlineata,27439,Chrysomelidae,7041,Coleoptera,GCA_000500325.1
139649,Teleopsis dalmanni,139644,Diopsidae,7147,Diptera,GCA_001017525.1
594049,Tephritis californica,7211,Tephritidae,7147,Diptera,GCA_001017515.1
29031,Phlebotomus papatasi,7197,Psychodidae,7147,Diptera,GCA_000262795.1
29030,Drosophila takahashii,7214,Drosophilidae,7147,Diptera,GCA_000224235.2
7536,Oncopeltus fasciatus,7533,Lygaeidae,7524,Hemiptera,GCA_000696205.1
85120,Clogmia albipunctata,7197,Psychodidae,7147,Diptera,GCA_001014945.1
7237,Drosophila pseudoobscura,7214,Drosophilidae,7147,Diptera,GCA_001014495.1
59916,Bactrocera tryoni,7211,Tephritidae,7147,Diptera,GCA_000695345.1
45779,Papilio glaucus,7143,Papilionidae,7088,Lepidoptera,GCA_000931545.1
66420,Papilio xuthus,7143,Papilionidae,7088,Lepidoptera,GCA_001298345.1
88686,Megaselia abdita,36164,Phoridae,7147,Diptera,GCA_001015175.1
312236,Tipula oleracea,41042,Tipulidae,7147,Diptera,GCA_001017535.1
1041015,Drosophila rhopaloa,7214,Drosophilidae,7147,Diptera,GCA_000236305.2
166423,Melipona quadrifasciata,7458,Apidae,7399,Hymenoptera,GCA_001276565.1
7029,Acyrthosiphon pisum,27482,Aphididae,7524,Hemiptera,GCA_000142985.2
490976,Trabutina mannipara,30190,Pseudococcidae,7524,Hemiptera,GCA_900080175.1
211228,Cephus cinctus,27524,Cephidae,7399,Hymenoptera,GCA_000341935.1
42026,Drosophila bipectinata,7214,Drosophilidae,7147,Diptera,GCA_000236285.2
7373,Calliphora vicina,7371,Calliphoridae,7147,Diptera,GCA_001017275.1
7370,Musca domestica,7366,Muscidae,7147,Diptera,GCA_000371365.1
691651,Lerema accius,40093,Hesperiidae,7088,Lepidoptera,GCA_001278395.1
7375,Lucilia cuprina,7371,Calliphoridae,7147,Diptera,GCA_000699065.1
1629725,Oryctes borbonicus,7055,Scarabaeidae,7041,Coleoptera,GCA_001443705.1
7427,Nasonia longicornis,7423,Pteromalidae,7399,Hymenoptera,GCA_000004795.1
7426,Nasonia giraulti,7423,Pteromalidae,7399,Hymenoptera,GCA_000004775.1
7425,Nasonia vitripennis,7423,Pteromalidae,7399,Hymenoptera,GCA_000002325.2
29029,Drosophila eugracilis,7214,Drosophilidae,7147,Diptera,GCA_000236325.2
224129,Agrilus planipennis,50527,Buprestidae,7041,Coleoptera,GCA_000699045.1
326594,Ceratosolen solmsi marchali,75187,Agaonidae,7399,Hymenoptera,GCA_000503995.1
64459,Pieris rapae,7114,Pieridae,7088,Lepidoptera,GCA_001856805.1
13037,Danaus plexippus,33415,Nymphalidae,7088,Lepidoptera,GCA_000235995.1
43041,Anopheles christyi,7157,Culicidae,7147,Diptera,GCA_000349165.1
67801,Glossina palpalis gambiensis,7392,Glossinidae,7147,Diptera,GCA_000818775.1
346610,Apis mellifera intermissa,7458,Apidae,7399,Hymenoptera,GCA_000819425.1
34691,Anopheles quadriannulatus,7157,Culicidae,7147,Diptera,GCA_000349065.1
34690,Anopheles melas,7157,Culicidae,7147,Diptera,GCA_000473525.2
30019,Drosophila busckii,7214,Drosophilidae,7147,Diptera,GCA_001014355.1
189839,Baetis rhodani,172515,Baetidae,30073,Ephemeroptera,GCA_001676355.1
7260,Drosophila willistoni,7214,Drosophilidae,7147,Diptera,GCA_000005925.1
61476,Timema cristinae,213546,Timematidae,7020,Phasmatodea,GCA_002009905.1
101932,Heliconius timareta,33415,Nymphalidae,7088,Lepidoptera,GCA_001486705.1
7263,Drosophila arizonae,7214,Drosophilidae,7147,Diptera,GCA_001654025.1
132113,Bombus impatiens,7458,Apidae,7399,Hymenoptera,GCA_000188095.2
185578,Anopheles nili,7157,Culicidae,7147,Diptera,GCA_000439205.1
143995,Megachile rotundata,124286,Megachilidae,7399,Hymenoptera,GCA_000220905.1
1518534,Anopheles coluzzii,7157,Culicidae,7147,Diptera,GCA_000150765.1
27457,Bactrocera dorsalis,7211,Tephritidae,7147,Diptera,GCA_000789215.2
520822,Atta colombica,36668,Formicidae,7399,Hymenoptera,GCA_001594045.1
7159,Aedes aegypti,7157,Culicidae,7147,Diptera,GCA_001014885.1
7091,Bombyx mori,7089,Bombycidae,7088,Lepidoptera,GCA_000325555.1
7493,Trichogramma pretiosum,7489,Trichogrammatidae,7399,Hymenoptera,GCA_000599845.2
7153,Chironomus tentans,7149,Chironomidae,7147,Diptera,GCA_000786525.1
39758,Mayetiola destructor,33406,Cecidomyiidae,7147,Diptera,GCA_001014435.1
37001,Glossina brevipalpis,7392,Glossinidae,7147,Diptera,GCA_000671755.1
1501340,Heliconius cydno hermogenes,33415,Nymphalidae,7088,Lepidoptera,GCA_001510915.1
7462,Apis dorsata,7458,Apidae,7399,Hymenoptera,GCA_000469605.1
83485,Linepithema humile,36668,Formicidae,7399,Hymenoptera,GCA_000217595.1
30066,Anopheles merus,7157,Culicidae,7147,Diptera,GCA_000473845.2
30068,Anopheles punctulatus,7157,Culicidae,7147,Diptera,GCA_000956255.1
30069,Anopheles stephensi,7157,Culicidae,7147,Diptera,GCA_000349045.1
57062,Hypothenemus hampei,7042,Curculionidae,7041,Coleoptera,GCA_001012855.1
30065,Anopheles koliensis,7157,Culicidae,7147,Diptera,GCA_000956275.1
7291,Drosophila albomicans,7214,Drosophilidae,7147,Diptera,GCA_001014995.1
178035,Dufourea novaeangliae,77572,Halictidae,7399,Hymenoptera,GCA_001272555.1
456900,Cyphomyrmex costatus,36668,Formicidae,7399,Hymenoptera,GCA_001594065.1
1577624,Eutreta diana,7211,Tephritidae,7147,Diptera,GCA_001015115.1
1577623,Mochlonyx cinctipes,41811,Chaoboridae,7147,Diptera,GCA_001014845.1
1577620,Trichoceridae sp. BV-2014,52747,Trichoceridae,7147,Diptera,GCA_001014425.1
7165,Anopheles gambiae,7157,Culicidae,7147,Diptera,GCA_001014525.1
110193,Nicrophorus vespilloides,57514,Silphidae,7041,Coleoptera,GCA_001412225.1
35570,Stomoxys calcitrans,7366,Muscidae,7147,Diptera,GCA_001015335.1
443821,Cerapachys biroi,36668,Formicidae,7399,Hymenoptera,GCA_000611835.1
7004,Locusta migratoria,7002,Acrididae,6993,Orthoptera,GCA_000516895.1
48709,Orchesella cincta,48704,Entomobryidae,N/A,N/A,GCA_001718145.1
7168,Anopheles dirus,7157,Culicidae,7147,Diptera,GCA_000349145.1
59191,Anopheles farauti No. 4,7157,Culicidae,7147,Diptera,GCA_000956215.1
292402,Themira minor,137503,Sepsidae,7147,Diptera,GCA_001014575.1
174628,Bactrocera latifrons,7211,Tephritidae,7147,Diptera,GCA_001853355.1
133901,Frankliniella occidentalis,45053,Thripidae,30262,Thysanoptera,GCA_000697945.1
37546,Glossina morsitans morsitans,7392,Glossinidae,7147,Diptera,GCA_001077435.1
7160,Aedes albopictus,7157,Culicidae,7147,Diptera,GCA_001574995.1
7213,Ceratitis capitata,7211,Tephritidae,7147,Diptera,GCA_000347755.2
573616,Heliconius timareta ssp. NG-2008,33415,Nymphalidae,7088,Lepidoptera,GCA_001486645.1
7167,Anopheles albimanus,7157,Culicidae,7147,Diptera,GCA_000349125.1
7217,Drosophila ananassae,7214,Drosophilidae,7147,Diptera,GCA_000005115.1
41427,Anopheles atroparvus,7157,Culicidae,7147,Diptera,GCA_000473505.1
28584,Drosophila suzukii,7214,Drosophilidae,7147,Diptera,GCA_000326985.1
1582032,Trupanea jonesi,7211,Tephritidae,7147,Diptera,GCA_001014665.1
38123,Pachypsylla venusta,30092,Psyllidae,7524,Hemiptera,GCA_000695645.1
1109111,Heliconius ismenius metaphorus,33415,Nymphalidae,7088,Lepidoptera,GCA_001485725.1
156304,Ceratina calcarata,7458,Apidae,7399,Hymenoptera,GCA_001652005.1
30033,Drosophila kikkawai,7214,Drosophilidae,7147,Diptera,GCA_000224215.2
7395,Glossina austeni,7392,Glossinidae,7147,Diptera,GCA_000688735.1
552050,Isoperla grammatica,50623,Perlodidae,50622,Plecoptera,GCA_001676475.1
516756,Eufriesea mexicana,7458,Apidae,7399,Hymenoptera,GCA_001483705.1
743375,Polistes dominula,7438,Vespidae,7399,Hymenoptera,GCA_001465965.1
88501,Lasioglossum albipes,77572,Halictidae,7399,Hymenoptera,GCA_000346575.1
40366,Drosophila americana,7214,Drosophilidae,7147,Diptera,GCA_001245305.1
1077261,Heliconius numata arcuella,33415,Nymphalidae,7088,Lepidoptera,GCA_001486725.1
170625,Coboldia fuscipes,52749,Scatopsidae,7147,Diptera,GCA_001014335.1
437484,Piezodorus guildinii,160513,Pentatomidae,7524,Hemiptera,GCA_000786065.1
7176,Culex quinquefasciatus,7157,Culicidae,7147,Diptera,GCA_000209185.1
1717472,Proctacanthus coquilletti,50673,Asilidae,7147,Diptera,GCA_001932985.1
471704,Trachymyrmex cornetzi,36668,Formicidae,7399,Hymenoptera,GCA_001594075.1
7173,Anopheles arabiensis,7157,Culicidae,7147,Diptera,GCA_000349185.1
1109112,Heliconius pardalinus ssp. JD-2011,33415,Nymphalidae,7088,Lepidoptera,GCA_001486605.1
33418,Heliconius ethilla,33415,Nymphalidae,7088,Lepidoptera,GCA_001485905.1
609295,Dinoponera quadriceps,36668,Formicidae,7399,Hymenoptera,GCA_001313825.1
680683,Amyelois transitella,7135,Pyralidae,7088,Lepidoptera,GCA_001186105.1
343691,Hermetia illucens,34687,Stratiomyidae,7147,Diptera,GCA_001014895.1
76712,Zaprionus indianus,7214,Drosophilidae,7147,Diptera,GCA_001752445.1
121845,Diaphorina citri,30092,Psyllidae,7524,Hemiptera,GCA_000475195.1
7200,Lutzomyia longipalpis,7197,Psychodidae,7147,Diptera,GCA_000265325.1
7070,Tribolium castaneum,7065,Tenebrionidae,7041,Coleoptera,GCA_000002335.3
166361,Onthophagus taurus,7055,Scarabaeidae,7041,Coleoptera,GCA_000648695.1
1109109,Heliconius hecale felix,33415,Nymphalidae,7088,Lepidoptera,GCA_001486125.1
198433,Liriomyza trifolii,127399,Agromyzidae,7147,Diptera,GCA_001014935.1
121224,Pediculus humanus corporis,121221,Pediculidae,85819,Phthiraptera,GCA_000006295.1
51655,Plutella xylostella,51653,Plutellidae,7088,Lepidoptera,GCA_000325945.1
74873,Anopheles sinensis,7157,Culicidae,7147,Diptera,GCA_000472065.2
36166,Megaselia scalaris,36164,Phoridae,7147,Diptera,GCA_000341915.2
43151,Anopheles darlingi,7157,Culicidae,7147,Diptera,GCA_000211455.3
201502,Glossina fuscipes fuscipes,7392,Glossinidae,7147,Diptera,GCA_000671735.1
125945,Drosophila biarmipes,7214,Drosophilidae,7147,Diptera,GCA_000233415.2
64838,Fopius arisanus,7402,Braconidae,7399,Hymenoptera,GCA_000806365.1
171917,Heliconius melpomene melpomene,33415,Nymphalidae,7088,Lepidoptera,GCA_000326025.1
12957,Atta cephalotes,36668,Formicidae,7399,Hymenoptera,GCA_000143395.2
79782,Cimex lectularius,30078,Cimicidae,7524,Hemiptera,GCA_001460545.1
6973,Blattella germanica,1049651,Ectobiidae,85823,Blattodea,GCA_000762945.1
64791,Trachymyrmex zeteki,36668,Formicidae,7399,Hymenoptera,GCA_001594055.1
30025,Drosophila ficusphila,7214,Drosophilidae,7147,Diptera,GCA_000220665.2
441921,Neodiprion lecontei,52632,Diprionidae,7399,Hymenoptera,GCA_001263575.1
30023,Drosophila elegans,7214,Drosophilidae,7147,Diptera,GCA_000224195.2
28612,Rhagoletis zephyria,7211,Tephritidae,7147,Diptera,GCA_001687245.1
7234,Drosophila persimilis,7214,Drosophilidae,7147,Diptera,GCA_000005195.1
7232,Drosophila navojoa,7214,Drosophilidae,7147,Diptera,GCA_001654015.1
7230,Drosophila mojavensis,7214,Drosophilidae,7147,Diptera,GCA_000005175.1
1049336,Ephemera danica,50581,Ephemeridae,30073,Ephemeroptera,GCA_000507165.1
7108,Spodoptera frugiperda,7100,Noctuidae,7088,Lepidoptera,GCA_000753635.2
765876,Dactylopius coccus,38115,Dactylopiidae,7524,Hemiptera,GCA_000833685.1
33444,Heliconius elevatus,33415,Nymphalidae,7088,Lepidoptera,GCA_001486085.1
7238,Drosophila sechellia,7214,Drosophilidae,7147,Diptera,GCA_000525085.1
438503,Catajapyx aquilonaris,79735,Japygidae,1652078,Diplura,GCA_000934665.1
757355,Cimex hemipterus,30078,Cimicidae,7524,Hemiptera,GCA_001663875.1
104421,Camponotus floridanus,36668,Formicidae,7399,Hymenoptera,GCA_000147175.1
1109113,Heliconius timareta ssp. JD-2011,33415,Nymphalidae,7088,Lepidoptera,GCA_001486685.1
217634,Anoplophora glabripennis,34667,Cerambycidae,7041,Coleoptera,GCA_000390285.1
7240,Drosophila simulans,7214,Drosophilidae,7147,Diptera,GCA_000525065.1
64793,Wasmannia auropunctata,36668,Formicidae,7399,Hymenoptera,GCA_000956235.1
108931,Nilaparvata lugens,33362,Delphacidae,7524,Hemiptera,GCA_000757685.1
139677,Sphyracephala brevicornis,139644,Diopsidae,7147,Diptera,GCA_001015235.1
180454,Anopheles gambiae str. PEST,7157,Culicidae,7147,Diptera,GCA_000005575.1
40077,Phoebis sennae,7114,Pieridae,7088,Lepidoptera,GCA_001586405.1
222816,Orussus abietinus,27528,Orussidae,7399,Hymenoptera,GCA_000612105.1
113334,Melitaea cinxia,33415,Nymphalidae,7088,Lepidoptera,GCA_000716385.1
7463,Apis florea,7458,Apidae,7399,Hymenoptera,GCA_000184785.1
74869,Anopheles maculatus,7157,Culicidae,7147,Diptera,GCA_000473185.1
7461,Apis cerana,7458,Apidae,7399,Hymenoptera,GCA_001442555.1
7460,Apis mellifera,7458,Apidae,7399,Hymenoptera,GCA_000002195.1
